Layer,Classifier,Accuracy
0,Logistic Regression,0.4975
0,SVM,0.4975
0,Random Forest,0.4975
1,Logistic Regression,0.8125
1,SVM,0.4975
1,Random Forest,0.4525
2,Logistic Regression,0.8525
2,SVM,0.5125
2,Random Forest,0.155
3,Logistic Regression,0.7875
3,SVM,0.4975
3,Random Forest,0.1275
4,Logistic Regression,0.7325
4,SVM,0.49
4,Random Forest,0.1025
5,Logistic Regression,0.7075
5,SVM,0.48
5,Random Forest,0.1175
6,Logistic Regression,0.8625
6,SVM,0.565
6,Random Forest,0.19
7,Logistic Regression,0.9325
7,SVM,0.8225
7,Random Forest,0.5575
8,Logistic Regression,0.985
8,SVM,0.9425
8,Random Forest,0.735
9,Logistic Regression,0.9925
9,SVM,0.985
9,Random Forest,0.8525
10,Logistic Regression,0.995
10,SVM,0.99
10,Random Forest,0.865
11,Logistic Regression,0.9975
11,SVM,0.98
11,Random Forest,0.835
12,Logistic Regression,0.9775
12,SVM,0.9625
12,Random Forest,0.69
